rebalance_date,stkcd
2015-05-01,002233
2015-05-01,002305
2015-05-01,002391
2015-05-01,002394
2015-05-01,002397
2015-05-01,002398
2015-05-01,002419
2015-05-01,002440
2015-05-01,002454
2015-05-01,002482
2015-05-01,002504
2015-05-01,002521
2015-05-01,002546
2015-05-01,002662
2015-05-01,002668
2015-05-01,300057
2015-05-01,300094
2015-05-01,600000
2015-05-01,600004
2015-05-01,600009
2015-05-01,600011
2015-05-01,600015
2015-05-01,600016
2015-05-01,600020
2015-05-01,600021
2015-05-01,600023
2015-05-01,600027
2015-05-01,600036
2015-05-01,600039
2015-05-01,600048
2015-05-01,600051
2015-05-01,600060
2015-05-01,600067
2015-05-01,600068
2015-05-01,600079
2015-05-01,600104
2015-05-01,600115
2015-05-01,600120
2015-05-01,600153
2015-05-01,600170
2015-05-01,600177
2015-05-01,600236
2015-05-01,600266
2015-05-01,600335
2015-05-01,600350
2015-05-01,600373
2015-05-01,600376
2015-05-01,600377
2015-05-01,600382
2015-05-01,600383
2015-05-01,600386
2015-05-01,600396
2015-05-01,600426
2015-05-01,600469
2015-05-01,600507
2015-05-01,600518
2015-05-01,600548
2015-05-01,600561
2015-05-01,600565
2015-05-01,600578
2015-05-01,600582
2015-05-01,600583
2015-05-01,600585
2015-05-01,600622
2015-05-01,600641
2015-05-01,600655
2015-05-01,600658
2015-05-01,600665
2015-05-01,600668
2015-05-01,600684
2015-05-01,600686
2015-05-01,600690
2015-05-01,600694
2015-05-01,600697
2015-05-01,600708
2015-05-01,600720
2015-05-01,600723
2015-05-01,600730
2015-05-01,600741
2015-05-01,600742
2015-05-01,600743
2015-05-01,600755
2015-05-01,600778
2015-05-01,600780
2015-05-01,600791
2015-05-01,600795
2015-05-01,600801
2015-05-01,600803
2015-05-01,600805
2015-05-01,600823
2015-05-01,600826
2015-05-01,600835
2015-05-01,600846
2015-05-01,600863
2015-05-01,600865
2015-05-01,600886
2015-05-01,600897
2015-05-01,600900
2015-05-01,600987
2015-05-01,601000
2015-05-01,601006
2015-05-01,601009
2015-05-01,601010
2015-05-01,601088
2015-05-01,601117
2015-05-01,601166
2015-05-01,601169
2015-05-01,601186
2015-05-01,601288
2015-05-01,601299
2015-05-01,601318
2015-05-01,601328
2015-05-01,601398
2015-05-01,601668
2015-05-01,601669
2015-05-01,601766
2015-05-01,601799
2015-05-01,601800
2015-05-01,601808
2015-05-01,601818
2015-05-01,601939
2015-05-01,601965
2015-05-01,601988
2015-05-01,601998
2015-05-01,603077
2015-05-01,603993
2016-05-01,000001
2016-05-01,000002
2016-05-01,000022
2016-05-01,000035
2016-05-01,000069
2016-05-01,000166
2016-05-01,000333
2016-05-01,000400
2016-05-01,000404
2016-05-01,000413
2016-05-01,000418
2016-05-01,000421
2016-05-01,000501
2016-05-01,000531
2016-05-01,000539
2016-05-01,000540
2016-05-01,000543
2016-05-01,000550
2016-05-01,000581
2016-05-01,000600
2016-05-01,000603
2016-05-01,000615
2016-05-01,000623
2016-05-01,000625
2016-05-01,000651
2016-05-01,000666
2016-05-01,000671
2016-05-01,000685
2016-05-01,000686
2016-05-01,000690
2016-05-01,000719
2016-05-01,000728
2016-05-01,000750
2016-05-01,000776
2016-05-01,000783
2016-05-01,000786
2016-05-01,000811
2016-05-01,000828
2016-05-01,000858
2016-05-01,000899
2016-05-01,000908
2016-05-01,000921
2016-05-01,000957
2016-05-01,000966
2016-05-01,000999
2016-05-01,001872
2016-05-01,001896
2016-05-01,002032
2016-05-01,002033
2016-05-01,002039
2016-05-01,002047
2016-05-01,002051
2016-05-01,002054
2016-05-01,002078
2016-05-01,002080
2016-05-01,002142
2016-05-01,002143
2016-05-01,002146
2016-05-01,002244
2016-05-01,002267
2016-05-01,002270
2016-05-01,002344
2016-05-01,002419
2016-05-01,002440
2016-05-01,002454
2016-05-01,002500
2016-05-01,002501
2016-05-01,002504
2016-05-01,002543
2016-05-01,002557
2016-05-01,002561
2016-05-01,002736
2016-05-01,002777
2016-05-01,002787
2016-05-01,300090
2016-05-01,300118
2016-05-01,300491
2016-05-01,600000
2016-05-01,600004
2016-05-01,600007
2016-05-01,600009
2016-05-01,600011
2016-05-01,600015
